Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
7404.72973,11141,12600285.48,7503,2499.648649,25955,57692343.12,4082,991.0810811,3108,663929.5766,773,-8345.486486,7136,3652899.09,-8252,1804.216216,10619,15793826.67,2498,-2530.675676,41110,212425843.8,-6988,3
8323.810811,7892,7204507.658,8044,2436.432432,22933,50774778.36,3788,1606.567568,2444,569340.0856,1221,-7273.621622,6654,5136111.186,-7182,1072.108108,8893,11338722.99,1529,-1315.540541,42866,229583538.6,-4323,3
9906.621622,6336,4427499.186,9476,633.5675676,24878,57243800.53,2098,1327.594595,3110,840837.1922,875,-7615.189189,4951,2142621.769,-7806,1279.486486,4198,1575239.757,1453,-3056.945946,40022,197356630.6,-5870,3
7878.756757,9922,12361735.13,8306,657.9189189,24773,56274176.47,2086,1436,2442,642397.3889,1100,-8126.864865,5135,3135765.731,-8034,1491.432432,10434,11290602.47,726,-2471.027027,39887,240142483.3,-5217,3
8065.027027,9150,8260081.527,7270,2881.513514,25559,59979424.37,4778,1378.594595,2691,415014.0255,1204,-7928.675676,4129,1947684.225,-7904,1175.162162,8311,5226535.64,1011,-4437.675676,42411,193507899.4,-6527,3
7949.675676,9297,8495935.67,7803,731.5945946,24984,59130275.8,1962,1061.783784,4232,1559718.508,1215,-9693.891892,7298,5080050.044,-8872,1275.648649,9080,11926953.96,2046,-2426.783784,40844,226097146,-5955,3
8584.432432,7630,6241624.697,8544,1345.162162,23919,55044004.58,3222,993.6216216,2678,641347.2417,593,-8543.216216,6617,3338274.285,-8181,2152.189189,8153,8376255.991,991,-2314.135135,41652,229284536.7,-5550,3
8253.567568,8466,7529462.197,8103,761.1891892,24458,57226050.16,1701,423.3783784,4107,1560378.02,4,-9358.486486,8357,5635032.535,-8603,2903.081081,10494,12727003.74,2269,-1656.108108,39977,218681269.6,-5874,3
8059.27027,8994,9113678.925,8124,1578.810811,24823,56161754.55,2729,1813.054054,3607,888590.997,1582,-6767.378378,7170,5823591.52,-6601,633.6486486,8296,9357070.123,1024,-2152.459459,40979,224849745.1,-6435,3
7713.972973,8621,8597792.138,7369,2271.108108,25301,57085294.99,3793,497.5945946,3335,1041662.081,-17,-8635,6404,2857498.722,-8734,2043.108108,9333,10045069.49,1959,-2093.675676,42916,233962072.1,-5767,3
7857.189189,9023,9041894.102,7428,2954.189189,25967,58719366.55,4875,958.1081081,1657,206740.8213,804,-8767.162162,6408,3967158.862,-8491,1051,11569,17320646.5,2003,-3761.351351,42116,196544304.6,-6562,3
8119.378378,10397,9716401.908,7705,2279.162162,25136,58371029.08,3741,584.1081081,4210,1714076.21,1002,-9431.918919,10507,9323580.965,-8316,2480.405405,11573,17656702.25,3443,-3452.243243,41180,192958622.2,-6483,3
8715.756757,6708,4681944.523,8680,929.4054054,22638,53903772.14,2369,-330.2972973,4236,1533584.659,304,-9915.378378,16038,18420285.3,-9131,953.4864865,14001,22254690.59,1227,-413.7567568,37917,193573836.6,-3538,3
9117.918919,8346,6235440.743,9083,911.6486486,22743,48573814.35,1511,43.64864865,3438,1024181.345,-55,-8747.27027,9510,7701880.369,-7878,1965.783784,9024,7798238.785,2200,-1379.675676,37878,207001131.6,-5644,3
6194.405405,11820,13151685.75,5356,2815.081081,26400,61699273.13,4248,450.3783784,4252,1579179.631,763,-9405.72973,10125,9085529.98,-7881,2633.648649,13203,17888871.4,2984,-3475.783784,41089,203105853.3,-6498,3
6973.540541,9508,7892426.811,6265,4945.783784,25033,52534573.62,6935,199.2702703,1621,212866.036,99,-8548.378378,7455,4110967.853,-7960,1888.621622,9725,12279318.91,2322,-3356.459459,40598,166766642.2,-5424,3
7500.810811,10721,12398771.16,6720,3299.810811,25964,60248538.88,5152,597.0810811,3252,664332.9655,370,-9455.216216,8139,6670137.285,-9352,1773.810811,8296,10041215.82,2063,-3897.297297,40167,180476084.3,-6416,3
8384.486486,9368,9332743.368,7921,1939.837838,25027,56916884.64,2915,1092.459459,3641,1138116.477,1178,-9374.675676,7144,4129727.947,-8898,1492.054054,8378,8727025.664,1768,-2673.351351,40930,212739748.9,-6197,3
6829.351351,11545,12495582.62,6058,4151.189189,25092,55343158.16,6013,876.7297297,2939,536562.6471,691,-8778.432432,8619,6879571.974,-7580,2064.351351,12354,15574746.51,1865,-3714.918919,43109,187271229,-5785,3
6699.27027,11052,12948318.7,5488,3957.216216,26725,65264810.62,6573,582.5135135,3096,634782.7012,481,-8957.162162,7955,5380780.584,-8349,2838.189189,11263,12845521.77,2914,-5669.081081,41462,167305153.6,-7389,3
6563.216216,7776,3327384.063,6430,-5840.486486,24349,63320501.65,-6520,3886.891892,5563,2341844.71,4408,-9153.162162,11868,14509427.42,-6868,866.972973,12932,15668132.75,1967,1478.243243,38385,164682102.7,4062,3
6093.837838,12335,8491047.973,6505,-6356.918919,23254,56331704.91,-6898,1436.405405,10111,7646588.081,2257,-11629.2973,16859,27848759.6,-9614,531.6216216,17970,35478816.41,-78,1770.864865,40567,189861133.3,4159,3
1828.891892,8964,7413063.377,2301,-11973.27027,8183,5102839.036,-11943,11552.94595,4648,1853195.719,12096,-6809.972973,25827,69012517.86,-6933,2920.621622,7279,4352518.908,2637,2484.405405,20326,53278539.58,-1453,4
1220.432432,9192,8161014.641,2275,-10894.27027,8458,7075224.536,-11041,12451.94595,4544,1467749.608,12313,-7091.675676,25866,61244965.61,-7053,3516.891892,6130,3875485.21,3224,3357.864865,21880,57777570.56,1185,4
1526.756757,10600,11140393.63,2656,-10809.7027,10408,8182230.937,-10481,11906.67568,5039,2053379.836,12030,-6259.648649,26842,62922080.57,-6106,3115.459459,9639,9066952.922,3477,3215.783784,21414,60228451.17,82,4
-231.7027027,8970,8222860.881,489,-10614.08108,10601,8157263.521,-10845,12473.56757,5355,2844923.53,12604,-7042.675676,27306,70321308.34,-7903,2349.27027,5856,3321025.203,1736,3161.189189,21344,57196970.32,593,4
-519.0540541,10076,10052892.77,1326,-9201.108108,11421,8459274.877,-9367,12453.45946,5216,2908081.7,12704,-6485.513514,26015,58527273.59,-7479,1132.513514,7813,4176967.201,1122,4413.567568,18735,41793833.81,2753,4
1523.945946,9828,9839583.441,2586,-10088.51351,10586,8879778.312,-10316,12061.97297,5221,2124270.138,12325,-5745.513514,26719,60986301.15,-5182,1265,6394,3060780.833,1243,5141.189189,18052,35486822.21,3077,4
-786.8108108,10058,8677861.38,-415,-11242.89189,10077,7112515.266,-11130,11562.40541,6132,2829078.303,11788,-6850.972973,24694,61925971.86,-7939,3172.837838,7963,5866068.473,2546,3847.297297,21895,52440490.88,1997,4
-621.7837838,9576,10277326.23,825,-10339.21622,12157,11193547.45,-10640,11972.32432,6049,3670877.17,12044,-7428.540541,28558,82254405.26,-8434,1160.837838,6405,4962138.584,626,4729.972973,16601,33807447.53,1551,4
-1287.162162,8761,7710772.917,-468,-11236.75676,11337,8614052.578,-11255,11905.59459,5518,2689185.137,11999,-7501.243243,26159,66022718.86,-7898,1673.540541,6251,3615709.589,1328,4073.459459,20622,48385822.59,1307,4
-1174.405405,7992,6923312.137,-544,-9575.540541,10813,9300951.033,-9952,12583.81081,5363,2276985.435,12764,-7095.756757,26999,63460607.8,-7088,1491.513514,5692,3556313.59,468,3290.027027,18616,45201809.64,980,4
723.4054054,8363,6717583.97,1174,-10095.91892,11327,9323319.632,-10853,13005.67568,5734,2563216.947,13214,-6316.702703,26910,66218470.16,-6430,1315.378378,5120,2460786.52,1442,3826.081081,20651,56109555.19,744,4
-1095.810811,8954,8494052.38,-506,-10780.27027,10084,7751882.98,-10936,12354.08108,6014,2759637.965,12590,-7880.567568,27534,65832301.14,-8585,879.4054054,7289,6524766.914,6,4192.108108,21379,53837049.88,1777,4
-1779.405405,9914,10167835.14,-693,-10776.16216,7609,4997078.584,-10620,11655.94595,4890,2006170.886,11819,-9703.459459,26251,59014914.7,-11623,1438.918919,15379,18437210.74,889,2908.432432,23138,65955925.75,462,4
-604,9217,9314055.833,-41,-11018.16216,8420,5482258.529,-10848,12298.83784,4546,1972930.862,12593,-8102.72973,28077,65998330.59,-9083,1229.891892,9771,8529388.71,804,3822.054054,21270,58673104.55,375,4
-647.9459459,11262,13702696.55,-68,-10595.18919,9933,6933276.88,-10649,12105.91892,3935,1896583.632,12181,-7557,27044,60702926.61,-8663,508.6756757,10827,11191074.78,674,4060.621622,22352,64769007.3,991,4
-1091.621622,8947,10067332.41,-404,-10918.2973,11526,9155689.215,-11111,12067.7027,5247,2648031.381,12788,-7013.243243,25996,63585056.63,-7879,1674.081081,15433,14332055.3,916,3186.486486,22515,50804724.53,907,4
-724.2432432,10841,10855514.13,-696,-11473.7027,10473,7728898.326,-11508,11955.48649,5276,2155800.257,12160,-6631.351351,26746,64416689.23,-6944,1070.513514,6678,4537944.923,1300,2487,21225,51239749.5,-785,4
-1304.918919,10571,10991270.02,-448,-10164.18919,10936,7483741.602,-9982,12022.72973,5021,2932163.98,12539,-6351.72973,26662,60761721.31,-8724,1997.243243,8372,4860543.411,2039,1904.675676,20635,52813872.89,-675,4
