accX,accY,accZ,gyroX,gyroY,gyroZ
9240,5574,11905,6375,3978,-10703
8500,6105,11387,6919,5019,-11227
7697,6748,10807,7360,5734,-11651
6904,7258,10302,7623,6060,-11975
6130,7653,9891,7807,6071,-12167
5350,8126,9472,8004,5920,-12217
4565,8700,8998,8186,5701,-12156
3803,9255,8527,8279,5428,-12004
3098,9682,8111,8289,5073,-11761
2438,10045,7728,8275,4678,-11404
1796,10495,7260,8285,4338,-10921
1191,11051,6739,8244,4038,-10334
657,11603,6256,8075,3732,-9715
231,11998,5883,7743,3434,-9096
-123,12279,5605,7299,3268,-8423
-543,12661,5284,6825,3373,-7681
-1034,13132,4926,6307,3705,-6923
-1561,13561,4610,5666,4081,-6188
-2104,13964,4355,4958,4349,-5498
-2603,14325,4190,4226,4463,-4854
-3036,14622,4115,3542,4486,-4240
-3427,14884,4042,2971,4470,-3651
-3767,15115,3963,2503,4385,-3096
-4070,15321,3882,2120,4236,-2587
-4360,15529,3759,1822,4042,-2133
-4624,15726,3644,1586,3738,-1755
-4798,15870,3606,1389,3304,-1436
-4874,15963,3624,1245,2839,-1147
-4905,16066,3619,1181,2449,-888
-4926,16173,3584,1163,2120,-678
-4920,16239,3563,1149,1779,-526
-4879,16292,3562,1154,1404,-420
-4832,16365,3543,1194,1033,-361
-4795,16449,3491,1253,690,-342
-4759,16510,3436,1297,359,-350
-4713,16569,3376,1335,35,-386
-4678,16635,3310,1363,-282,-457
-4658,16686,3256,1370,-588,-550
-4636,16704,3210,1363,-856,-634
-4590,16714,3139,1367,-1071,-688
-4520,16714,3055,1365,-1260,-719
-4458,16706,2972,1339,-1453,-737
-4421,16678,2894,1292,-1662,-739
-4391,16633,2812,1233,-1898,-707
-4350,16594,2731,1162,-2154,-623
-4298,16558,2672,1058,-2400,-490
-4251,16490,2624,906,-2593,-304
-4220,16400,2576,717,-2733,-50
-4208,16313,2511,502,-2850,276
-4196,16212,2442,243,-2984,679
-4160,16095,2398,-67,-3141,1167
-4109,15978,2361,-427,-3269,1752
-4021,15869,2346,-843,-3316,2442
-3893,15763,2368,-1339,-3262,3222
-3736,15624,2420,-1931,-3156,4058
-3550,15413,2526,-2627,-3119,4929
-3361,15234,2675,-3373,-3219,5821
-3202,15152,2827,-4160,-3447,6732
-3007,15073,3067,-5063,-3729,7705
-2607,14912,3450,-6108,-3847,8806
-1926,14537,4026,-7407,-3508,10111
-1049,13961,4762,-8868,-2655,11538
-123,13295,5514,-10302,-1585,12909
717,12535,6419,-11609,-797,14065
1165,11628,7133,-12648,-547,14938
1508,10565,7479,-13307,-929,15603
2050,9338,7719,-13606,-1827,16095
2784,8062,8031,-13547,-2720,16453
3710,7002,8381,-13186,-3220,16670
4739,6241,8747,-12621,-3210,16572
5649,5671,9117,-11992,-2699,16065
6312,5265,9527,-11353,-1878,15162
6711,4936,9985,-10731,-1036,13978
6926,4700,10442,-10091,-438,12679
7112,4567,10896,-9417,-257,11389
7386,4520,11357,-8732,-467,10166
7762,4523,11821,-8063,-862,9030
8173,4555,12266,-7436,-1190,7982
8535,4585,12664,-6883,-1259,7027
8783,4549,13015,-6395,-1038,6146
8902,4492,13321,-5910,-646,5318
8949,4449,13587,-5393,-266,4543
8974,4382,13824,-4843,-23,3810
8997,4296,14015,-4253,52,3097
9040,4245,14152,-3628,-5,2388
9120,4197,14267,-3005,-127,1672
9205,4094,14369,-2399,-223,937
9246,3953,14400,-1765,-258,175
9230,3859,14330,-1083,-281,-611
9205,3874,14205,-385,-362,-1426
9237,3937,14085,272,-501,-2262
9321,3937,14001,883,-619,-3112
9373,3851,13898,1493,-635,-3976
9301,3795,13647,2145,-577,-4843
9201,3925,13313,2844,-595,-5718
9158,4184,12998,3494,-693,-6564
9134,4430,12759,4081,-733,-7347
9036,4639,12532,4662,-628,-8059
8778,5002,12215,5285,-420,-8697
8391,5659,11797,5896,-232,-9255
8031,6453,11416,6375,-159,-9734
7758,7065,11165,6645,-127,-10132
7488,7478,10984,6808,53,-10403
7148,7913,10775,6984,474,-10534
6740,8519,10451,7165,1080,-10573
6313,9127,10087,7240,1724,-10582
5889,9539,9785,7172,2312,-10552
5417,9814,9515,7057,2843,-10444
4875,10177,9182,7014,3337,-10238
4286,10696,8746,7002,3764,-9960
3738,11191,8357,6917,4050,-9646
3249,11537,8034,6746,4242,-9270
2786,11796,7735,6566,4417,-8811
2311,12056,7392,6412,4627,-8269
1841,12346,6965,6294,4850,-7658
1450,12616,6543,6155,4978,-6994
1138,12807,6164,5955,4960,-6294
835,13013,5820,5737,4850,-5570
459,13341,5423,5558,4727,-4842
23,13788,5018,5365,4548,-4121
-437,14274,4622,5156,4208,-3505
-855,14740,4367,4915,3698,-2986
-1237,15179,4204,4676,3221,-2478
-1550,15537,4054,4453,2920,-1973
-1860,15818,3918,4223,2796,-1545
-2181,16052,3773,3999,2751,-1169
-2466,16239,3634,3794,2670,-844
-2667,16405,3497,3620,2502,-589
-2801,16554,3365,3450,2269,-411
